Entity,Code,Year,"Deaths that are from all causes attributed to smoking, in both sexes aged all ages",World Bank's income classification,"Deaths that are from all causes attributed to smoking, in both sexes aged all ages",Year
African Region (WHO),,2007,216340.03,,236433.22,2019
African Region (WHO),,2008,216665.84,,236433.22,2019
African Region (WHO),,2009,217700.78,,236433.22,2019
African Region (WHO),,2010,218518,,236433.22,2019
African Region (WHO),,2011,219104.23,,236433.22,2019
African Region (WHO),,2012,220368.58,,236433.22,2019
African Region (WHO),,2013,221841.03,,236433.22,2019
African Region (WHO),,2014,224484.94,,236433.22,2019
African Region (WHO),,2015,227268.58,,236433.22,2019
African Region (WHO),,2016,229184.61,,236433.22,2019
African Region (WHO),,2017,231790.73,,236433.22,2019
African Region (WHO),,2018,233547.86,,236433.22,2019
African Region (WHO),,2019,236433.22,,236433.22,2019
Albania,ALB,1990,2751.6006,Lower-middle-income countries,4424.722,2019
Albania,ALB,1991,2809.0579,Lower-middle-income countries,4424.722,2019
Albania,ALB,1992,2705.3171,Lower-middle-income countries,4424.722,2019
Albania,ALB,1993,2603.1292,Low-income countries,4424.722,2019
Albania,ALB,1994,2452.9595,Low-income countries,4424.722,2019
Albania,ALB,1995,2550.0374,Low-income countries,4424.722,2019
Albania,ALB,1996,2674.3691,Lower-middle-income countries,4424.722,2019
Albania,ALB,1997,2744.9543,Low-income countries,4424.722,2019
Albania,ALB,1998,2788.3816,Lower-middle-income countries,4424.722,2019
Albania,ALB,1999,2794.6804,Lower-middle-income countries,4424.722,2019
Albania,ALB,2000,2831.889,Lower-middle-income countries,4424.722,2019
Albania,ALB,2001,2767.937,Lower-middle-income countries,4424.722,2019
Albania,ALB,2002,2897.9949,Lower-middle-income countries,4424.722,2019
Albania,ALB,2003,3100.1785,Lower-middle-income countries,4424.722,2019
Albania,ALB,2004,3166.1003,Lower-middle-income countries,4424.722,2019
Albania,ALB,2005,3108.3745,Lower-middle-income countries,4424.722,2019
Albania,ALB,2006,2973.473,Lower-middle-income countries,4424.722,2019
Albania,ALB,2007,2899.2192,Lower-middle-income countries,4424.722,2019
Albania,ALB,2008,3010.7542,Lower-middle-income countries,4424.722,2019
Albania,ALB,2009,3061.293,Upper-middle-income countries,4424.722,2019
Albania,ALB,2010,3147.2642,Upper-middle-income countries,4424.722,2019
Albania,ALB,2011,3301.942,Lower-middle-income countries,4424.722,2019
Albania,ALB,2012,3411.2158,Upper-middle-income countries,4424.722,2019
Albania,ALB,2013,3543.6035,Upper-middle-income countries,4424.722,2019
Albania,ALB,2014,3741.2747,Upper-middle-income countries,4424.722,2019
Albania,ALB,2015,3936.15,Upper-middle-income countries,4424.722,2019
Albania,ALB,2016,4058.248,Upper-middle-income countries,4424.722,2019
Albania,ALB,2017,4183.2896,Upper-middle-income countries,4424.722,2019
Albania,ALB,2018,4303.849,Upper-middle-income countries,4424.722,2019
Albania,ALB,2019,4424.722,Upper-middle-income countries,4424.722,2019
Albania,ALB,2020,,Upper-middle-income countries,4424.722,2019
Albania,ALB,2021,,Upper-middle-income countries,4424.722,2019
Albania,ALB,2022,,Upper-middle-income countries,4424.722,2019
Algeria,DZA,1990,13779.92,Lower-middle-income countries,21555.373,2019
Algeria,DZA,1991,14233.036,Lower-middle-income countries,21555.373,2019
Algeria,DZA,1992,14540.913,Lower-middle-income countries,21555.373,2019
Algeria,DZA,1993,14827.082,Lower-middle-income countries,21555.373,2019
Algeria,DZA,1994,15078.419,Lower-middle-income countries,21555.373,2019
Algeria,DZA,1995,15269.932,Lower-middle-income countries,21555.373,2019
Algeria,DZA,1996,15363.95,Lower-middle-income countries,21555.373,2019
Algeria,DZA,1997,15419.513,Lower-middle-income countries,21555.373,2019
Algeria,DZA,1998,15442.409,Lower-middle-income countries,21555.373,2019
Algeria,DZA,1999,15611.044,Lower-middle-income countries,21555.373,2019
Algeria,DZA,2000,15654.23,Lower-middle-income countries,21555.373,2019
Algeria,DZA,2001,15698.557,Lower-middle-income countries,21555.373,2019
Algeria,DZA,2002,15761.597,Lower-middle-income countries,21555.373,2019
Algeria,DZA,2003,15843.926,Lower-middle-income countries,21555.373,2019
Algeria,DZA,2004,15979.762,Lower-middle-income countries,21555.373,2019
Algeria,DZA,2005,16143.619,Lower-middle-income countries,21555.373,2019
Algeria,DZA,2006,16306.281,Lower-middle-income countries,21555.373,2019
Algeria,DZA,2007,16512.639,Lower-middle-income countries,21555.373,2019
Algeria,DZA,2008,16732.793,Upper-middle-income countries,21555.373,2019
Algeria,DZA,2009,17014.246,Upper-middle-income countries,21555.373,2019
Algeria,DZA,2010,17237.574,Upper-middle-income countries,21555.373,2019
Algeria,DZA,2011,17594.926,Upper-middle-income countries,21555.373,2019
Algeria,DZA,2012,17978.12,Upper-middle-income countries,21555.373,2019
Algeria,DZA,2013,18318.133,Upper-middle-income countries,21555.373,2019
Algeria,DZA,2014,18740.156,Upper-middle-income countries,21555.373,2019
Algeria,DZA,2015,19251.025,Upper-middle-income countries,21555.373,2019
Algeria,DZA,2016,19758.982,Upper-middle-income countries,21555.373,2019
Algeria,DZA,2017,20376.21,Upper-middle-income countries,21555.373,2019
Algeria,DZA,2018,20914.47,Upper-middle-income countries,21555.373,2019
Algeria,DZA,2019,21555.373,Lower-middle-income countries,21555.373,2019
Algeria,DZA,1987,,Upper-middle-income countries,21555.373,2019
Algeria,DZA,1988,,Upper-middle-income countries,21555.373,2019
Algeria,DZA,1989,,Lower-middle-income countries,21555.373,2019
Algeria,DZA,2020,,Lower-middle-income countries,21555.373,2019
Algeria,DZA,2021,,Lower-middle-income countries,21555.373,2019
Algeria,DZA,2022,,Lower-middle-income countries,21555.373,2019
American Samoa,ASM,1990,33.550743,Upper-middle-income countries,54.950916,2019
American Samoa,ASM,1991,34.745083,Upper-middle-income countries,54.950916,2019
American Samoa,ASM,1992,35.743843,Upper-middle-income countries,54.950916,2019
American Samoa,ASM,1993,36.49441,Upper-middle-income countries,54.950916,2019
American Samoa,ASM,1994,37.45542,Upper-middle-income countries,54.950916,2019
American Samoa,ASM,1995,38.31633,Upper-middle-income countries,54.950916,2019
American Samoa,ASM,1996,39.243286,Upper-middle-income countries,54.950916,2019
American Samoa,ASM,1997,40.16044,Upper-middle-income countries,54.950916,2019
American Samoa,ASM,1998,41.14374,Upper-middle-income countries,54.950916,2019
American Samoa,ASM,1999,42.269318,Upper-middle-income countries,54.950916,2019
American Samoa,ASM,2000,42.606495,Upper-middle-income countries,54.950916,2019
American Samoa,ASM,2001,43.32753,Upper-middle-income countries,54.950916,2019
American Samoa,ASM,2002,43.995724,Upper-middle-income countries,54.950916,2019
American Samoa,ASM,2003,44.51052,Upper-middle-income countries,54.950916,2019
American Samoa,ASM,2004,44.87876,Upper-middle-income countries,54.950916,2019
American Samoa,ASM,2005,45.161484,Upper-middle-income countries,54.950916,2019
American Samoa,ASM,2006,45.741577,Upper-middle-income countries,54.950916,2019
American Samoa,ASM,2007,46.193954,Upper-middle-income countries,54.950916,2019
American Samoa,ASM,2008,47.054523,Upper-middle-income countries,54.950916,2019
American Samoa,ASM,2009,47.867283,Upper-middle-income countries,54.950916,2019
American Samoa,ASM,2010,48.18708,Upper-middle-income countries,54.950916,2019
American Samoa,ASM,2011,48.70226,Upper-middle-income countries,54.950916,2019
American Samoa,ASM,2012,49.375134,Upper-middle-income countries,54.950916,2019
American Samoa,ASM,2013,50.34144,Upper-middle-income countries,54.950916,2019
American Samoa,ASM,2014,51.14592,Upper-middle-income countries,54.950916,2019
American Samoa,ASM,2015,51.933495,Upper-middle-income countries,54.950916,2019
American Samoa,ASM,2016,52.643326,Upper-middle-income countries,54.950916,2019
American Samoa,ASM,2017,53.42705,Upper-middle-income countries,54.950916,2019
American Samoa,ASM,2018,54.21152,Upper-middle-income countries,54.950916,2019
American Samoa,ASM,2019,54.950916,Upper-middle-income countries,54.950916,2019
American Samoa,ASM,1987,,High-income countries,54.950916,2019
American Samoa,ASM,1988,,High-income countries,54.950916,2019
American Samoa,ASM,1989,,High-income countries,54.950916,2019
American Samoa,ASM,2020,,Upper-middle-income countries,54.950916,2019
American Samoa,ASM,2021,,Upper-middle-income countries,54.950916,2019
American Samoa,ASM,2022,,High-income countries,54.950916,2019
Andorra,AND,1990,59.971134,High-income countries,106.49164,2019
Andorra,AND,1991,63.211082,High-income countries,106.49164,2019
Andorra,AND,1992,66.96454,High-income countries,106.49164,2019
Andorra,AND,1993,70.824005,High-income countries,106.49164,2019
Andorra,AND,1994,72.44682,High-income countries,106.49164,2019
Andorra,AND,1995,73.61649,High-income countries,106.49164,2019
Andorra,AND,1996,74.87549,High-income countries,106.49164,2019
Andorra,AND,1997,76.316605,High-income countries,106.49164,2019
Andorra,AND,1998,77.65407,High-income countries,106.49164,2019
Andorra,AND,1999,78.846886,High-income countries,106.49164,2019
Andorra,AND,2000,80.70329,High-income countries,106.49164,2019
Andorra,AND,2001,82.43426,High-income countries,106.49164,2019
Andorra,AND,2002,84.39883,High-income countries,106.49164,2019
Andorra,AND,2003,86.83223,High-income countries,106.49164,2019
Andorra,AND,2004,89.10217,High-income countries,106.49164,2019
Andorra,AND,2005,89.98807,High-income countries,106.49164,2019
Andorra,AND,2006,92.004845,High-income countries,106.49164,2019
Andorra,AND,2007,93.73012,High-income countries,106.49164,2019
Andorra,AND,2008,95.71921,High-income countries,106.49164,2019
Andorra,AND,2009,97.69946,High-income countries,106.49164,2019
Andorra,AND,2010,99.392845,High-income countries,106.49164,2019
Andorra,AND,2011,93.66909,High-income countries,106.49164,2019
Andorra,AND,2012,91.98637,High-income countries,106.49164,2019
Andorra,AND,2013,93.36005,High-income countries,106.49164,2019
Andorra,AND,2014,94.85725,High-income countries,106.49164,2019
Andorra,AND,2015,96.53209,High-income countries,106.49164,2019
Andorra,AND,2016,98.40427,High-income countries,106.49164,2019
Andorra,AND,2017,101.10885,High-income countries,106.49164,2019
Andorra,AND,2018,103.93818,High-income countries,106.49164,2019
Andorra,AND,2019,106.49164,High-income countries,106.49164,2019
Andorra,AND,2020,,High-income countries,106.49164,2019
Andorra,AND,2021,,High-income countries,106.49164,2019
Andorra,AND,2022,,High-income countries,106.49164,2019
Angola,AGO,1990,4506.5513,Lower-middle-income countries,7510.508,2019
Angola,AGO,1991,4613.45,Lower-middle-income countries,7510.508,2019
Angola,AGO,1992,4732.2505,Lower-middle-income countries,7510.508,2019
Angola,AGO,1993,4916.1255,Lower-middle-income countries,7510.508,2019
Angola,AGO,1994,5084.612,Lower-middle-income countries,7510.508,2019
Angola,AGO,1995,5178.1255,Low-income countries,7510.508,2019
Angola,AGO,1996,5151.3354,Low-income countries,7510.508,2019
Angola,AGO,1997,5197.7285,Low-income countries,7510.508,2019
Angola,AGO,1998,5368.583,Low-income countries,7510.508,2019
Angola,AGO,1999,5483.752,Low-income countries,7510.508,2019
Angola,AGO,2000,5560.7803,Low-income countries,7510.508,2019
Angola,AGO,2001,5568.221,Low-income countries,7510.508,2019
Angola,AGO,2002,5440.367,Low-income countries,7510.508,2019
Angola,AGO,2003,5459.851,Low-income countries,7510.508,2019
Angola,AGO,2004,5596.9497,Lower-middle-income countries,7510.508,2019
Angola,AGO,2005,5535.6436,Lower-middle-income countries,7510.508,2019
Angola,AGO,2006,5662.1196,Lower-middle-income countries,7510.508,2019
Angola,AGO,2007,5703.746,Lower-middle-income countries,7510.508,2019
Angola,AGO,2008,5792.02,Lower-middle-income countries,7510.508,2019
Angola,AGO,2009,5904.1743,Lower-middle-income countries,7510.508,2019
Angola,AGO,2010,6005.295,Lower-middle-income countries,7510.508,2019
Angola,AGO,2011,6158.308,Upper-middle-income countries,7510.508,2019
Angola,AGO,2012,6351.417,Upper-middle-income countries,7510.508,2019
Angola,AGO,2013,6477.1543,Upper-middle-income countries,7510.508,2019
Angola,AGO,2014,6489.091,Upper-middle-income countries,7510.508,2019
Angola,AGO,2015,6634.459,Upper-middle-income countries,7510.508,2019
Angola,AGO,2016,6786.6943,Lower-middle-income countries,7510.508,2019
Angola,AGO,2017,7006.757,Lower-middle-income countries,7510.508,2019
Angola,AGO,2018,7242.934,Lower-middle-income countries,7510.508,2019
Angola,AGO,2019,7510.508,Lower-middle-income countries,7510.508,2019
Angola,AGO,1988,,Lower-middle-income countries,7510.508,2019
Angola,AGO,1989,,Lower-middle-income countries,7510.508,2019
Angola,AGO,2020,,Lower-middle-income countries,7510.508,2019
Angola,AGO,2021,,Lower-middle-income countries,7510.508,2019
Angola,AGO,2022,,Lower-middle-income countries,7510.508,2019
Antigua and Barbuda,ATG,1990,24.408165,Upper-middle-income countries,36.831387,2019
Antigua and Barbuda,ATG,1991,24.667093,Upper-middle-income countries,36.831387,2019
Antigua and Barbuda,ATG,1992,25.163893,Upper-middle-income countries,36.831387,2019
Antigua and Barbuda,ATG,1993,26.775331,Upper-middle-income countries,36.831387,2019
Antigua and Barbuda,ATG,1994,27.063538,Upper-middle-income countries,36.831387,2019
Antigua and Barbuda,ATG,1995,27.474203,Upper-middle-income countries,36.831387,2019
Antigua and Barbuda,ATG,1996,25.24763,Upper-middle-income countries,36.831387,2019
Antigua and Barbuda,ATG,1997,24.806486,Upper-middle-income countries,36.831387,2019
Antigua and Barbuda,ATG,1998,24.77663,Upper-middle-income countries,36.831387,2019
Antigua and Barbuda,ATG,1999,24.993769,Upper-middle-income countries,36.831387,2019
Antigua and Barbuda,ATG,2000,25.221628,Upper-middle-income countries,36.831387,2019
Antigua and Barbuda,ATG,2001,25.219118,Upper-middle-income countries,36.831387,2019
Antigua and Barbuda,ATG,2002,25.315311,High-income countries,36.831387,2019
Antigua and Barbuda,ATG,2003,25.649435,Upper-middle-income countries,36.831387,2019
Antigua and Barbuda,ATG,2004,26.000685,Upper-middle-income countries,36.831387,2019
Antigua and Barbuda,ATG,2005,26.45098,High-income countries,36.831387,2019
Antigua and Barbuda,ATG,2006,27.456722,High-income countries,36.831387,2019
Antigua and Barbuda,ATG,2007,32.200394,High-income countries,36.831387,2019
Antigua and Barbuda,ATG,2008,32.557606,High-income countries,36.831387,2019
Antigua and Barbuda,ATG,2009,29.999779,Upper-middle-income countries,36.831387,2019
Antigua and Barbuda,ATG,2010,30.273094,Upper-middle-income countries,36.831387,2019
Antigua and Barbuda,ATG,2011,30.733746,Upper-middle-income countries,36.831387,2019
Antigua and Barbuda,ATG,2012,30.999079,High-income countries,36.831387,2019
Antigua and Barbuda,ATG,2013,31.269712,High-income countries,36.831387,2019
Antigua and Barbuda,ATG,2014,32.48078,High-income countries,36.831387,2019
Antigua and Barbuda,ATG,2015,33.221127,High-income countries,36.831387,2019
Antigua and Barbuda,ATG,2016,33.962894,High-income countries,36.831387,2019
Antigua and Barbuda,ATG,2017,34.856064,High-income countries,36.831387,2019
Antigua and Barbuda,ATG,2018,35.768013,High-income countries,36.831387,2019
Antigua and Barbuda,ATG,2019,36.831387,High-income countries,36.831387,2019
Antigua and Barbuda,ATG,1987,,Upper-middle-income countries,36.831387,2019
Antigua and Barbuda,ATG,1988,,Upper-middle-income countries,36.831387,2019
Antigua and Barbuda,ATG,1989,,Upper-middle-income countries,36.831387,2019
Antigua and Barbuda,ATG,2020,,High-income countries,36.831387,2019
Antigua and Barbuda,ATG,2021,,High-income countries,36.831387,2019
Antigua and Barbuda,ATG,2022,,High-income countries,36.831387,2019
Argentina,ARG,1990,46415.086,Lower-middle-income countries,51306.055,2019
Argentina,ARG,1991,45869.184,Upper-middle-income countries,51306.055,2019
Argentina,ARG,1992,46216.242,Upper-middle-income countries,51306.055,2019
Argentina,ARG,1993,45708.46,Upper-middle-income countries,51306.055,2019
Argentina,ARG,1994,44884.96,Upper-middle-income countries,51306.055,2019
Argentina,ARG,1995,45125.688,Upper-middle-income countries,51306.055,2019
Argentina,ARG,1996,45555.984,Upper-middle-income countries,51306.055,2019
Argentina,ARG,1997,45967.117,Upper-middle-income countries,51306.055,2019
Argentina,ARG,1998,46526.145,Upper-middle-income countries,51306.055,2019
Argentina,ARG,1999,46944.6,Upper-middle-income countries,51306.055,2019
Argentina,ARG,2000,45672.95,Upper-middle-income countries,51306.055,2019
Argentina,ARG,2001,45880.055,Upper-middle-income countries,51306.055,2019
Argentina,ARG,2002,46721.52,Upper-middle-income countries,51306.055,2019
Argentina,ARG,2003,47185.445,Upper-middle-income countries,51306.055,2019
Argentina,ARG,2004,46318.83,Upper-middle-income countries,51306.055,2019
Argentina,ARG,2005,45835.87,Upper-middle-income countries,51306.055,2019
Argentina,ARG,2006,46025.78,Upper-middle-income countries,51306.055,2019
Argentina,ARG,2007,47285.367,Upper-middle-income countries,51306.055,2019
Argentina,ARG,2008,46398.062,Upper-middle-income countries,51306.055,2019
Argentina,ARG,2009,46502.56,Upper-middle-income countries,51306.055,2019
Argentina,ARG,2010,46970.734,Upper-middle-income countries,51306.055,2019
Argentina,ARG,2011,47323.914,Upper-middle-income countries,51306.055,2019
Argentina,ARG,2012,47484.812,Upper-middle-income countries,51306.055,2019
Argentina,ARG,2013,47689.2,Upper-middle-income countries,51306.055,2019
Argentina,ARG,2014,47574.54,High-income countries,51306.055,2019
Argentina,ARG,2015,48530.594,Upper-middle-income countries,51306.055,2019
Argentina,ARG,2016,50483.21,Upper-middle-income countries,51306.055,2019
Argentina,ARG,2017,51076.59,High-income countries,51306.055,2019
Argentina,ARG,2018,50862.625,Upper-middle-income countries,51306.055,2019
Argentina,ARG,2019,51306.055,Upper-middle-income countries,51306.055,2019
Argentina,ARG,1987,,Upper-middle-income countries,51306.055,2019
Argentina,ARG,1988,,Upper-middle-income countries,51306.055,2019
Argentina,ARG,1989,,Lower-middle-income countries,51306.055,2019
Argentina,ARG,2020,,Upper-middle-income countries,51306.055,2019
Argentina,ARG,2021,,Upper-middle-income countries,51306.055,2019
Argentina,ARG,2022,,Upper-middle-income countries,51306.055,2019
Armenia,ARM,1990,4243.0674,,4864.4473,2019
Armenia,ARM,1991,4532.255,Lower-middle-income countries,4864.4473,2019
Armenia,ARM,1992,4942.378,Lower-middle-income countries,4864.4473,2019
Armenia,ARM,1993,5167.4053,Low-income countries,4864.4473,2019
Armenia,ARM,1994,4977.9756,Low-income countries,4864.4473,2019
Armenia,ARM,1995,4927.393,Low-income countries,4864.4473,2019
Armenia,ARM,1996,4987.7,Low-income countries,4864.4473,2019
Armenia,ARM,1997,4792.5967,Low-income countries,4864.4473,2019
Armenia,ARM,1998,4674.314,Low-income countries,4864.4473,2019
Armenia,ARM,1999,4759.277,Low-income countries,4864.4473,2019
Armenia,ARM,2000,4721.587,Low-income countries,4864.4473,2019
Armenia,ARM,2001,4839.0986,Low-income countries,4864.4473,2019
Armenia,ARM,2002,4954.0723,Lower-middle-income countries,4864.4473,2019
Armenia,ARM,2003,5013.5435,Lower-middle-income countries,4864.4473,2019
Armenia,ARM,2004,4978.0605,Lower-middle-income countries,4864.4473,2019
Armenia,ARM,2005,5060.4907,Lower-middle-income countries,4864.4473,2019
Armenia,ARM,2006,5154.6455,Lower-middle-income countries,4864.4473,2019
Armenia,ARM,2007,5053.317,Lower-middle-income countries,4864.4473,2019
Armenia,ARM,2008,5091.0386,Lower-middle-income countries,4864.4473,2019
Armenia,ARM,2009,5043.7246,Lower-middle-income countries,4864.4473,2019
Armenia,ARM,2010,4979.8916,Lower-middle-income countries,4864.4473,2019
Armenia,ARM,2011,4955.2314,Lower-middle-income countries,4864.4473,2019
Armenia,ARM,2012,4840.179,Lower-middle-income countries,4864.4473,2019
Armenia,ARM,2013,4686.409,Lower-middle-income countries,4864.4473,2019
Armenia,ARM,2014,4715.917,Lower-middle-income countries,4864.4473,2019
Armenia,ARM,2015,4797.617,Lower-middle-income countries,4864.4473,2019
Armenia,ARM,2016,4773.5967,Lower-middle-income countries,4864.4473,2019
Armenia,ARM,2017,4806.9595,Upper-middle-income countries,4864.4473,2019
Armenia,ARM,2018,4828.5166,Upper-middle-income countries,4864.4473,2019
Armenia,ARM,2019,4864.4473,Upper-middle-income countries,4864.4473,2019
Armenia,ARM,2020,,Upper-middle-income countries,4864.4473,2019
Armenia,ARM,2021,,Upper-middle-income countries,4864.4473,2019
Armenia,ARM,2022,,Upper-middle-income countries,4864.4473,2019
Aruba,ABW,1987,,High-income countries,,
Aruba,ABW,1988,,High-income countries,,
Aruba,ABW,1989,,High-income countries,,
Aruba,ABW,1990,,High-income countries,,
Aruba,ABW,1991,,Upper-middle-income countries,,
Aruba,ABW,1992,,Upper-middle-income countries,,
Aruba,ABW,1993,,Upper-middle-income countries,,
Aruba,ABW,1994,,High-income countries,,
Aruba,ABW,1995,,High-income countries,,
Aruba,ABW,1996,,High-income countries,,
Aruba,ABW,1997,,High-income countries,,
Aruba,ABW,1998,,High-income countries,,
Aruba,ABW,1999,,High-income countries,,
Aruba,ABW,2000,,High-income countries,,
Aruba,ABW,2001,,High-income countries,,
Aruba,ABW,2002,,High-income countries,,
Aruba,ABW,2003,,High-income countries,,
Aruba,ABW,2004,,High-income countries,,
Aruba,ABW,2005,,High-income countries,,
Aruba,ABW,2006,,High-income countries,,
Aruba,ABW,2007,,High-income countries,,
Aruba,ABW,2008,,High-income countries,,
Aruba,ABW,2009,,High-income countries,,
Aruba,ABW,2010,,High-income countries,,
Aruba,ABW,2011,,High-income countries,,
Aruba,ABW,2012,,High-income countries,,
Aruba,ABW,2013,,High-income countries,,
Aruba,ABW,2014,,High-income countries,,
Aruba,ABW,2015,,High-income countries,,
Aruba,ABW,2016,,High-income countries,,
Aruba,ABW,2017,,High-income countries,,
Aruba,ABW,2018,,High-income countries,,
Aruba,ABW,2019,,High-income countries,,
Aruba,ABW,2020,,High-income countries,,
Aruba,ABW,2021,,High-income countries,,
Aruba,ABW,2022,,High-income countries,,
Australia,AUS,1990,24758.887,High-income countries,18999.145,2019
Australia,AUS,1991,24210.855,High-income countries,18999.145,2019
Australia,AUS,1992,24108.717,High-income countries,18999.145,2019
Australia,AUS,1993,23651.33,High-income countries,18999.145,2019
Australia,AUS,1994,23605.848,High-income countries,18999.145,2019
Australia,AUS,1995,23090.201,High-income countries,18999.145,2019
Australia,AUS,1996,22859.824,High-income countries,18999.145,2019
Australia,AUS,1997,22294.13,High-income countries,18999.145,2019
Australia,AUS,1998,21643.18,High-income countries,18999.145,2019
Australia,AUS,1999,20984.729,High-income countries,18999.145,2019
Australia,AUS,2000,20465.936,High-income countries,18999.145,2019
Australia,AUS,2001,20045.873,High-income countries,18999.145,2019
Australia,AUS,2002,19774.824,High-income countries,18999.145,2019
Australia,AUS,2003,19198.877,High-income countries,18999.145,2019
Australia,AUS,2004,18866.393,High-income countries,18999.145,2019
Australia,AUS,2005,18454.93,High-income countries,18999.145,2019
Australia,AUS,2006,18235.043,High-income countries,18999.145,2019
Australia,AUS,2007,18372.986,High-income countries,18999.145,2019
Australia,AUS,2008,18357.244,High-income countries,18999.145,2019
Australia,AUS,2009,18061.729,High-income countries,18999.145,2019
Australia,AUS,2010,17852.414,High-income countries,18999.145,2019
Australia,AUS,2011,17884.3,High-income countries,18999.145,2019
Australia,AUS,2012,17730.459,High-income countries,18999.145,2019
Australia,AUS,2013,17766.355,High-income countries,18999.145,2019
Australia,AUS,2014,18047.824,High-income countries,18999.145,2019
Australia,AUS,2015,18188.11,High-income countries,18999.145,2019
Australia,AUS,2016,18038.49,High-income countries,18999.145,2019
Australia,AUS,2017,18235.975,High-income countries,18999.145,2019
Australia,AUS,2018,18736.39,High-income countries,18999.145,2019
Australia,AUS,2019,18999.145,High-income countries,18999.145,2019
Australia,AUS,1987,,High-income countries,18999.145,2019
Australia,AUS,1988,,High-income countries,18999.145,2019
Australia,AUS,1989,,High-income countries,18999.145,2019
Australia,AUS,2020,,High-income countries,18999.145,2019
Australia,AUS,2021,,High-income countries,18999.145,2019
Australia,AUS,2022,,High-income countries,18999.145,2019
Austria,AUT,1990,12730.463,High-income countries,12313.909,2019
Austria,AUT,1991,12714.086,High-income countries,12313.909,2019
Austria,AUT,1992,12619.32,High-income countries,12313.909,2019
Austria,AUT,1993,12510.867,High-income countries,12313.909,2019
Austria,AUT,1994,12296.028,High-income countries,12313.909,2019
Austria,AUT,1995,12297.013,High-income countries,12313.909,2019
Austria,AUT,1996,12242.782,High-income countries,12313.909,2019
Austria,AUT,1997,12075.335,High-income countries,12313.909,2019
Austria,AUT,1998,11962.87,High-income countries,12313.909,2019
